label,none,SERRF,none,SERRF
SM (d42:2) B [M+HCOO]-,0.251111585,0.031105883,0.24594625,0.072206078
SM (d42:3) [M+HCOO]-,0.248715885,0.029241508,0.250722507,0.046949248
SM (d43:2) [M+HCOO]-,0.328291672,0.078868235,0.298976114,0.068615103
CSH_negESI #014,0.386154977,0.045485857,0.413459014,0.027405645
CSH_negESI #017,0.395831708,0.052278537,0.426693922,0.053481413
CSH_negESI #021,0.364571215,0.051146564,0.386511042,0.078686942
CSH_negESI #024,0.900814865,0.070244091,0.906666627,0.118676358
CSH_negESI #046,0.351348289,0.046331681,0.383640852,0.063805305
CSH_negESI #056,0.370373556,0.056801147,0.370901594,0.072840014
CSH_negESI #071,0.183809493,0.076378324,0.229855559,0.137147113
CSH_negESI #074,0.241758936,0.077293382,0.209669072,0.09367418
CSH_negESI #078,0.486211643,0.041755317,0.469258796,0.031160363
CSH_negESI #079,0.764339554,0.04022533,0.816991558,0.065299958
CSH_negESI #091,0.231550783,0.041165716,0.193505161,0.078683377
CSH_negESI #108,0.575742085,0.053277731,0.592411804,0.052026505
CSH_negESI #109,0.256338157,0.078001135,0.59304943,0.017272879
CSH_negESI #113,0.333475914,0.041282393,0.553119086,0.070413391
CSH_negESI #120,0.279931183,0.056413425,0.268813936,0.020491123
CSH_negESI #120 ,0.320736249,0.060513392,0.352279187,0.070912392
CSH_negESI #123,0.254030435,0.108081754,0.233003496,0.051658541
CSH_negESI #124,0.401258437,0.037662037,0.398617805,0.01209188
CSH_negESI #130,0.226230968,0.064744411,0.21832598,0.09650236
CSH_negESI #131,0.390511025,0.204412353,0.66637886,0.375889296
CSH_negESI #132,0.503407309,0.109783956,0.502354244,0.369989871
CSH_negESI #133,0.179263158,0.050225573,0.314239761,0.104593777
CSH_negESI #134,0.455181079,0.026530466,0.467067937,0.146783801
CSH_negESI #135,0.220856145,0.051834592,0.223528979,0.052186733
CSH_negESI #136,0.145304811,0.036737787,0.30038549,0.219495476
